input,winner,probabilityBias,probability,harmonyBias,harmony,operation,output,merge_cond_(56.59),exhaust_ws_(45.57),label_cons_(34.38),case_agr_(26.71),wh_agr_(14.33),foc_agr_(0.00),cl_agr_(22.05),case_(64.68),wh_(5.27),foc_(0.00),cl_(5.27),case_mt_(44.24),wh_mt_(36.69),foc_mt_(0.00),cl_mt_(23.79),LB_DP_(100.00),LB_V_(34.93),LB_v_(1.41),LB_T_(31.41),LB_C_(17.35),LB_DP2_(0.00)
"wolofMatrix_[v [DP wh,cl] [v case [v case] [V [V] [DP case_agr,wh,cl]]]]",0,4.0745288071046047e-32,4.074528807104737e-32,-121.18815660592813,-117.18815660592813,iMerge,"[.. [V [V] [DP case_agr,wh,cl]] [v [DP wh,cl] [v case [v case] [V [V] [DP case_agr,wh,cl]]]]]",0,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0.0
"wolofMatrix_[v [DP wh,cl] [v case [v case] [V [V] [DP case_agr,wh,cl]]]]",0,1.3720265020999315e-05,1.372026502099976e-05,-60.10682535942116,-56.10682535942116,rMerge,"[v [DP wh,cl] [v case [v case] [V [V] [DP case_agr,wh,cl]]]]",0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0.0
"wolofMatrix_[.. [DP2 case_agr] [v [DP wh,cl] [v case [v case] [V [V] [DP case_agr,wh,cl]]]]]",1,0.9999906770005078,0.9999999768903797,-31.070189939959192,-21.070189939959192,Label,"[DP2 case_agr [DP2 case_agr] [v [DP wh,cl] [v case [v case] [V [V] [DP case_agr,wh,cl]]]]]",0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,1.0
"wolofMatrix_[.. [DP2 case_agr] [v [DP wh,cl] [v case [v case] [V [V] [DP case_agr,wh,cl]]]]]",0,9.322999492177606e-06,2.3109620201222412e-08,-42.65320676403581,-38.65320676403581,Label,"[v [DP2 case_agr] [v [DP wh,cl] [v case [v case] [V [V] [DP case_agr,wh,cl]]]]]",0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0.0
"wolofMatrix_[.. [DP2 case_agr] [v [DP wh,cl] [v case [v case] [V [V] [DP case_agr,wh,cl]]]]]",0,4.7515132053713474e-33,1.1777933233757697e-35,-105.49702554885384,-101.49702554885384,xMerge,"[.. [T case] [.. [DP2 case_agr] [v [DP wh,cl] [v case [v case] [V [V] [DP case_agr,wh,cl]]]]]]",1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0.0
"wolofMatrix_[.. [DP2 case_agr] [v [DP wh,cl] [v case [v case] [V [V] [DP case_agr,wh,cl]]]]]",0,4.7515132053713474e-33,1.1777933233757697e-35,-105.49702554885384,-101.49702554885384,xMerge,"[.. [C wh_agr,cl_agr] [.. [DP2 case_agr] [v [DP wh,cl] [v case [v case] [V [V] [DP case_agr,wh,cl]]]]]]",1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0.0
"wolofMatrix_[.. [DP2 case_agr] [v [DP wh,cl] [v case [v case] [V [V] [DP case_agr,wh,cl]]]]]",0,7.678579793249323e-53,1.9033473385433528e-55,-151.0687559382954,-147.0687559382954,iMerge,"[.. [DP2 case_agr] [.. [DP2 case_agr] [v [DP wh,cl] [v case [v case] [V [V] [DP case_agr,wh,cl]]]]]]",1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0.0
"wolofMatrix_[.. [DP2 case_agr] [v [DP wh,cl] [v case [v case] [V [V] [DP case_agr,wh,cl]]]]]",0,7.678579793249323e-53,1.9033473385433528e-55,-151.0687559382954,-147.0687559382954,iMerge,"[.. [v [DP wh,cl] [v case [v case] [V [V] [DP case_agr,wh,cl]]]] [.. [DP2 case_agr] [v [DP wh,cl] [v case [v case] [V [V] [DP case_agr,wh,cl]]]]]]",1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0.0
"wolofMatrix_[.. [DP2 case_agr] [v [DP wh,cl] [v case [v case] [V [V] [DP case_agr,wh,cl]]]]]",0,1.576857474571992e-46,7.158988436907364e-51,-136.53366096831581,-136.53366096831581,iMerge,"[.. [DP wh,cl] [.. [DP2 case_agr] [v [DP wh,cl] [v case [v case] [V [V] [DP case_agr,wh,cl]]]]]]",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
"wolofMatrix_[.. [DP2 case_agr] [v [DP wh,cl] [v case [v case] [V [V] [DP case_agr,wh,cl]]]]]",0,1.9360443063034292e-64,4.799018668718279e-67,-177.77497969445534,-173.77497969445534,iMerge,"[.. [V [V] [DP case_agr,wh,cl]] [.. [DP2 case_agr] [v [DP wh,cl] [v case [v case] [V [V] [DP case_agr,wh,cl]]]]]]",1,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0.0
"wolofMatrix_[.. [DP2 case_agr] [v [DP wh,cl] [v case [v case] [V [V] [DP case_agr,wh,cl]]]]]",0,2.888191047376639e-28,7.159176424866996e-31,-94.48193284976817,-90.48193284976817,rMerge,"[.. [DP2 case_agr] [v [DP wh,cl] [v case [v case] [V [V] [DP case_agr,wh,cl]]]]]",0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0.0
