input,winner,probability,harmony,operation,output,merge_cond_(59.09),case_(47.04),label_cons_(44.71),exhaust_ws_(54.45),foc_(17.29),case_mt_(57.30),case_agr_(30.95),LB_DP_(100.00),LB_V_(60.70),LB_v_(23.60),LB_DP2_(5.76),LB_T_(26.63),LB_C_(0.00),wh_agr_(0.00),foc_agr_(0.00),cl_agr_(0.00),wh_(0.00),cl_(0.00),wh_mt_(0.00),foc_mt_(0.00),cl_mt_(0.00)
"phrasal_[.. [DP case_agr] [v case,foc [v case,foc] [V [V] [DP case_agr]]]]",0,1.872323079976133e-69,-158.25119146796757,iMerge,"[.. [DP case_agr] [.. [DP case_agr] [v case,foc [v case,foc] [V [V] [DP case_agr]]]]]",1,0,1,1,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"phrasal_[.. [DP case_agr] [v case,foc [v case,foc] [V [V] [DP case_agr]]]]",0,2.428000157610782e-96,-220.1611009893173,iMerge,"[.. [v case,foc [v case,foc] [V [V] [DP case_agr]]] [.. [DP case_agr] [v case,foc [v case,foc] [V [V] [DP case_agr]]]]]",1,0,1,1,0,0,2,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"phrasal_[.. [DP case_agr] [v case,foc [v case,foc] [V [V] [DP case_agr]]]]",0,6.742403676197648e-83,-189.20614622864244,iMerge,"[.. [V [V] [DP case_agr]] [.. [DP case_agr] [v case,foc [v case,foc] [V [V] [DP case_agr]]]]]",1,0,1,1,0,0,1,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"phrasal_[.. [DP case_agr] [v case,foc [v case,foc] [V [V] [DP case_agr]]]]",0,8.61764117195287e-44,-99.15993269045543,rMerge,"[.. [DP case_agr] [v case,foc [v case,foc] [V [V] [DP case_agr]]]]",0,0,1,1,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"phrasal_[.. [DP] [v case,foc [v case,foc] [V [V] [DP case_agr]]]]",0,7.5914609937849265e-62,-164.33422339377267,Label,"[DP [DP] [v case,foc [v case,foc] [V [V] [DP case_agr]]]]",0,1,0,0,1,0,0,1,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"phrasal_[.. [DP] [v case,foc [v case,foc] [V [V] [DP case_agr]]]]",1,1.0,-23.60097169032542,Label,"[v foc [DP] [v case,foc [v case,foc] [V [V] [DP case_agr]]]]",0,0,0,0,0,0,0,0,0,1,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"phrasal_[.. [DP] [v case,foc [v case,foc] [V [V] [DP case_agr]]]]",0,1.481806760280159e-35,-103.79818781791877,xMerge,"[.. [DP2 case_agr] [.. [DP] [v case,foc [v case,foc] [V [V] [DP case_agr]]]]]",1,0,1,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"phrasal_[.. [DP] [v case,foc [v case,foc] [V [V] [DP case_agr]]]]",0,1.481806760280159e-35,-103.79818781791877,xMerge,"[.. [T case] [.. [DP] [v case,foc [v case,foc] [V [V] [DP case_agr]]]]]",1,0,1,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"phrasal_[.. [DP] [v case,foc [v case,foc] [V [V] [DP case_agr]]]]",0,1.481806760280159e-35,-103.79818781791877,xMerge,"[.. [C] [.. [DP] [v case,foc [v case,foc] [V [V] [DP case_agr]]]]]",1,0,1,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"phrasal_[.. [DP] [v case,foc [v case,foc] [V [V] [DP case_agr]]]]",0,3.32776433951047e-59,-158.25119146796757,iMerge,"[.. [DP] [.. [DP] [v case,foc [v case,foc] [V [V] [DP case_agr]]]]]",1,0,1,1,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"phrasal_[.. [DP] [v case,foc [v case,foc] [V [V] [DP case_agr]]]]",0,4.315394296654163e-86,-220.1611009893173,iMerge,"[.. [v case,foc [v case,foc] [V [V] [DP case_agr]]] [.. [DP] [v case,foc [v case,foc] [V [V] [DP case_agr]]]]]",1,0,1,1,0,0,2,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"phrasal_[.. [DP] [v case,foc [v case,foc] [V [V] [DP case_agr]]]]",0,1.198357845192019e-72,-189.20614622864244,iMerge,"[.. [V [V] [DP case_agr]] [.. [DP] [v case,foc [v case,foc] [V [V] [DP case_agr]]]]]",1,0,1,1,0,0,1,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
